3,0,0
2.996,0,0.12685
2.9839,0,0.25318
2.9639,0,0.3785
2.9359,0,0.5023
2.9001,0,0.62407
2.8567,0,0.74332
2.8059,0,0.85959
2.7477,0,0.97239
2.6825,0,1.0813
2.6105,0,1.1858
2.5321,0,1.2856
2.4475,0,1.3802
2.357,0,1.4692
2.2611,0,1.5523
2.1601,0,1.6292
2.0545,0,1.6995
1.9445,0,1.7629
1.8308,0,1.8193
1.7138,0,1.8683
1.5938,0,1.9098
1.4715,0,1.9436
1.3473,0,1.9696
1.2217,0,1.9877
1.0952,0,1.9977
0.96827,0,1.9997
0.8415,0,1.9937
0.71537,0,1.9796
0.59039,0,1.9576
0.46705,0,1.9277
0.34586,0,1.89
0.22731,0,1.8447
0.11187,0,1.792
4.4409e-16,0,1.7321
-0.10784,-0,1.6651
-0.21122,-0,1.5915
-0.30972,-0,1.5115
-0.40295,-0,1.4254
-0.49053,-0,1.3335
-0.57211,-0,1.2363
-0.64735,-0,1.1341
-0.71597,-0,1.0274
-0.77767,-0,0.91645
-0.83222,-0,0.80186
-0.87939,-0,0.68404
-0.91899,-0,0.56347
-0.95086,-0,0.44062
-0.97488,-0,0.316
-0.99094,-0,0.19011
-0.99899,-0,0.063456
-0.99899,-0,-0.063456
-0.99094,-0,-0.19011
-0.97488,-0,-0.316
-0.95086,-0,-0.44062
-0.91899,-0,-0.56347
-0.87939,-0,-0.68404
-0.83222,-0,-0.80186
-0.77767,-0,-0.91645
-0.71597,-0,-1.0274
-0.64735,-0,-1.1341
-0.57211,-0,-1.2363
-0.49053,-0,-1.3335
-0.40295,-0,-1.4254
-0.30972,-0,-1.5115
-0.21122,-0,-1.5915
-0.10784,-0,-1.6651
-8.8818e-16,-0,-1.7321
0.11187,0,-1.792
0.22731,0,-1.8447
0.34586,0,-1.89
0.46705,0,-1.9277
0.59039,0,-1.9576
0.71537,0,-1.9796
0.8415,0,-1.9937
0.96827,0,-1.9997
1.0952,0,-1.9977
1.2217,0,-1.9877
1.3473,0,-1.9696
1.4715,0,-1.9436
1.5938,0,-1.9098
1.7138,0,-1.8683
1.8308,0,-1.8193
1.9445,0,-1.7629
2.0545,0,-1.6995
2.1601,0,-1.6292
2.2611,0,-1.5523
2.357,0,-1.4692
2.4475,0,-1.3802
2.5321,0,-1.2856
2.6105,0,-1.1858
2.6825,0,-1.0813
2.7477,0,-0.97239
2.8059,0,-0.85959
2.8567,0,-0.74332
2.9001,0,-0.62407
2.9359,0,-0.5023
2.9639,0,-0.3785
2.9839,0,-0.25318
2.996,0,-0.12685
3,0,-4.8986e-16
2.994,0.19027,0
2.9899,0.19002,0.12678
2.9779,0.18925,0.25306
2.9579,0.18798,0.37831
2.93,0.18621,0.50204
2.8943,0.18394,0.62375
2.851,0.18119,0.74295
2.8002,0.17796,0.85916
2.7422,0.17427,0.9719
2.6771,0.17014,1.0807
2.6053,0.16557,1.1852
2.527,0.1606,1.2849
